data,saldo_total,saldo_pj,saldo_pf,inad_total,inad_pj,inad_pf,taxa_total,taxa_pj,taxa_pf,selic_432,saldo_total_var12m,saldo_pf_var12m,saldo_pj_var12m,selic_432_lag1,selic_432_lag3,taxa_pf_lag1,taxa_pf_lag3,saldo_pf_var12m_lag1,saldo_pf_var12m_lag3,saldo_pj_var12m_lag1,saldo_pj_var12m_lag3,inad_pf_tplus3
2021-01-01,4017481.0,1764350.0,2253131.0,2.14,1.2,2.88,19.9,13.63,23.8,2.0,,,,,,,,,,,,2.91
2021-02-01,4044845.0,1774313.0,2270532.0,2.23,1.35,2.92,19.62,12.32,24.16,2.0,,,,2.0,,23.8,,,,,,2.97
2021-03-01,4106449.0,1809384.0,2297064.0,2.13,1.2,2.87,19.79,12.31,24.48,2.338709677419355,,,,2.0,,24.16,,,,,,2.87
2021-04-01,4126914.0,1804880.0,2322034.0,2.19,1.27,2.91,20.26,13.04,24.75,2.75,,,,2.338709677419355,2.0,24.48,23.8,,,,,2.9
2021-05-01,4175472.0,1814790.0,2360682.0,2.33,1.51,2.97,19.79,12.75,24.11,3.379032258064516,,,,2.75,2.0,24.75,24.16,,,,,2.92
2021-06-01,4212400.0,1814263.0,2398138.0,2.27,1.48,2.87,19.92,12.93,24.18,3.85,,,,3.379032258064516,2.338709677419355,24.11,24.48,,,,,2.97
2021-07-01,4269669.0,1830524.0,2439145.0,2.31,1.52,2.9,20.3,13.87,24.15,4.25,,,,3.85,2.75,24.18,24.75,,,,,2.95
2021-08-01,4344165.0,1848208.0,2495958.0,2.31,1.5,2.92,20.97,14.67,24.68,5.120967741935484,,,,4.25,3.379032258064516,24.15,24.11,,,,,2.97
2021-09-01,4439121.0,1891192.0,2547929.0,2.28,1.36,2.97,21.46,15.11,25.24,5.516666666666667,,,,5.120967741935484,3.85,24.68,24.18,,,,,3.0
2021-10-01,4509925.0,1907849.0,2602076.0,2.28,1.36,2.95,22.93,16.83,26.51,6.443548387096774,,,,5.516666666666667,4.25,25.24,24.15,,,,,3.21
